production_country_id,production_country
0,US
1,GB
2,EG
3,DE
4,IN
5,SU
6,LB
7,CA
8,FR
10,DZ
11,IT
12,JP
13,AR
14,PE
15,BR
16,IE
17,HK
18,AU
19,GH
20,BF
21,MX
22,ES
23,CO
24,PS
25,NO
26,BE
27,TR
28,DK
29,BS
30,CZ
31,MT
32,ZA
33,CN
34,BG
35,RU
36,KR
37,CL
38,MA
39,UY
40,NL
41,SE
42,TW
43,SG
44,NG
45,MY
46,Lebanon
47,CH
48,PH
49,KW
50,AT
51,XX
52,AE
53,HU
54,SA
55,ID
56,FI
57,IL
58,CD
59,PL
60,VE
61,RO
62,IS
63,UA
64,NZ
65,LU
66,IR
67,JO
68,QA
69,BY
70,HR
71,SY
72,TN
73,GL
74,PT
75,PK
76,VN
77,PR
78,IQ
79,TH
80,GE
81,KH
82,CU
83,KE
84,VA
85,RS
86,TZ
87,AL
88,PY
89,ZW
90,NP
91,CM
92,BD
93,GR
94,KG
95,BT
96,LT
97,MC
98,MW
99,CY
100,SN
101,LK
102,MU
103,IO
104,GT
105,AF
106,AO
107,NA
108,KN
109,FO
