id,genre_id
ts300399,0
tm84618,1
tm84618,2
tm154986,1
tm154986,3
tm154986,4
tm154986,5
tm127384,6
tm127384,3
tm127384,7
tm120801,8
tm120801,3
ts22164,7
ts22164,5
tm70993,7
tm14873,4
tm14873,3
tm14873,2
tm119281,2
tm119281,1
tm119281,3
tm98978,9
tm98978,3
tm98978,1
tm44204,3
tm44204,1
tm44204,8
tm67378,10
tm67378,3
tm67378,5
tm69997,7
tm69997,0
tm16479,9
tm16479,7
tm135083,1
tm135083,2
tm135083,7
tm89386,11
tm89386,0
tm89386,5
tm156453,8
tm156453,0
tm156453,12
tm156453,7
tm14350,1
tm81728,1
tm94651,1
tm94651,7
tm94651,2
tm94651,9
tm94651,3
tm27298,3
tm27298,1
tm27298,8
tm27298,11
tm27298,9
tm100027,1
tm100027,9
tm100027,3
tm100027,6
tm100027,13
tm19608,2
tm19608,9
tm19608,1
tm204541,3
tm204541,1
tm204541,9
tm204541,4
tm259855,0
tm356209,1
tm356209,4
tm356209,2
ts45948,7
tm200475,1
tm90896,12
tm90896,1
tm90896,2
tm336403,2
tm336403,4
tm107372,9
tm107372,1
tm107372,7
tm358653,9
tm358653,2
tm358653,1
tm259684,0
tm403346,9
tm16812,1
tm16812,3
tm16812,9
ts20681,7
tm155787,1
tm155787,2
tm22327,8
tm22327,1
tm180542,2
tm180542,1
tm180542,5
tm138875,7
tm138875,9
tm138875,1
tm2386,14
tm133087,7
tm133087,1
tm133087,9
tm177480,2
tm177480,7
tm54450,14
tm54450,4
tm54450,5
ts22082,15
ts22082,3
ts22082,2
ts22082,1
ts21715,16
ts21715,13
ts21715,7
ts21715,6
ts21715,1
ts21715,3
ts21715,12
ts20678,13
ts20678,7
ts20678,9
tm145608,1
tm145608,5
ts25028,13
tm147710,7
tm147710,5
tm142895,1
tm20712,7
tm20712,0
tm117580,9
tm117580,7
ts23753,7
ts23753,13
tm130586,9
tm130586,1
ts987,16
ts987,7
ts987,13
ts987,15
ts987,5
tm721687,1
tm721687,4
tm40103,15
tm40103,16
tm40103,3
tm40103,1
tm40103,8
tm125985,16
tm125985,15
tm125985,3
tm125985,1
tm125985,8
ts2760,16
ts2760,7
ts2760,13
ts2760,2
ts2760,5
tm21953,7
tm21953,0
tm126769,7
tm152839,7
tm152839,0
tm49037,3
tm49037,1
tm49037,8
tm49037,16
tm49037,15
tm62924,7
tm62924,0
tm52815,1
tm52815,9
tm159912,1
tm159912,3
tm159912,2
tm133914,7
tm38736,1
tm38736,8
tm51083,4
tm51083,2
tm51083,1
tm137013,1
tm157603,1
tm157603,7
tm157603,9
tm258072,2
tm258072,1
tm114356,1
tm157853,1
tm157853,2
tm132164,7
tm446654,1
tm446654,3
tm446654,2
tm348735,3
tm348735,2
tm348735,4
tm151332,1
tm342996,3
tm342996,1
tm24110,1
tm371359,3
tm371359,1
tm371359,4
tm55091,1
ts63001,7
tm311264,3
tm311264,7
tm311264,1
tm311264,13
tm411457,1
tm411457,3
tm172482,9
tm172482,1
tm172482,3
tm419052,13
tm419052,9
tm47673,1
tm47673,6
tm52274,8
tm52274,1
tm52274,5
tm147829,1
ts20981,17
tm107744,4
tm107744,3
ts22176,15
ts22176,1
ts22176,3
tm15897,2
tm15897,4
tm15897,1
ts21223,3
ts21223,15
ts21223,16
ts21223,7
ts21223,6
ts21223,13
tm191013,1
tm122434,1
tm122434,9
tm25947,2
tm25947,7
tm43808,4
tm43808,1
tm43808,2
ts20339,16
ts20339,3
ts20339,7
ts20339,1
ts20339,6
ts5145,17
ts5145,7
ts5145,1
ts5145,15
tm191110,1
tm191110,9
ts34435,16
ts34435,3
ts34435,15
ts34435,10
ts34435,7
ts34435,1
ts34435,4
tm192037,15
tm192037,3
tm192037,4
tm27395,4
tm27395,3
tm113513,7
ts20983,1
ts20983,15
ts20983,16
ts20983,3
ts20983,6
ts20983,4
tm192405,15
tm192405,4
tm192405,9
tm192405,1
tm116655,2
tm116655,1
tm116655,3
tm116655,4
tm116655,5
ts21567,7
ts21567,1
tm116488,4
tm116488,1
tm116488,2
tm116488,3
tm11556,3
tm11556,4
tm11556,10
tm11556,9
tm56574,7
tm56574,9
tm56574,1
ts20960,3
ts20960,15
ts20960,6
ts20960,13
tm53991,1
tm53991,7
tm53991,5
