id,production_country_id
ts300399,0
tm84618,0
tm154986,0
tm127384,1
tm120801,1
tm120801,0
ts22164,1
tm70993,1
tm14873,0
tm119281,0
tm98978,0
tm44204,1
tm44204,0
tm67378,0
tm69997,0
tm16479,0
tm135083,2
tm89386,3
tm156453,0
tm14350,2
tm81728,2
tm94651,4
tm27298,2
tm100027,5
tm100027,4
tm19608,2
tm204541,2
tm259855,6
tm259855,7
tm259855,8
tm356209,4
tm200475,6
tm90896,10
tm90896,2
tm336403,4
tm107372,4
tm358653,4
tm259684,7
tm259684,8
tm259684,6
tm403346,4
tm16812,4
ts20681,0
tm155787,0
tm22327,0
tm22327,1
tm180542,0
tm180542,11
tm138875,0
tm2386,1
tm2386,0
tm133087,0
tm177480,0
tm54450,0
ts22082,0
ts21715,1
ts20678,0
tm145608,0
ts25028,0
tm147710,0
tm142895,0
tm20712,0
tm117580,0
ts23753,0
tm130586,0
ts987,1
tm721687,4
tm40103,12
tm125985,12
ts2760,1
tm21953,0
tm126769,13
tm152839,0
tm49037,12
tm62924,1
tm52815,4
tm159912,4
tm133914,1
tm38736,0
tm51083,0
tm137013,0
tm157603,4
tm258072,0
tm114356,0
tm157853,0
tm132164,0
tm446654,4
tm348735,4
tm151332,8
tm151332,2
tm342996,4
tm24110,0
tm371359,4
tm55091,0
ts63001,0
tm311264,4
tm411457,4
tm172482,4
tm419052,4
tm47673,2
tm52274,8
tm52274,6
tm147829,0
ts20981,0
tm107744,0
ts22176,7
ts22176,0
tm15897,0
ts21223,12
tm191013,0
tm122434,0
tm25947,0
tm25947,1
tm43808,0
ts20339,12
ts5145,0
tm191110,0
ts34435,12
tm192037,0
tm27395,0
tm113513,0
ts20983,12
tm192405,0
tm116655,0
tm116655,8
ts21567,0
tm116488,0
tm11556,12
tm11556,0
tm56574,0
ts20960,0
tm53991,0
tm49178,0
ts25252,12
tm191989,0
ts22193,7
ts22193,0
ts22489,0
ts22489,7
ts21034,12
tm121879,0
tm44402,3
tm44402,0
tm187187,0
ts16919,0
tm6859,0
tm118238,0
tm111163,0
tm111163,7
tm190835,12
tm192769,0
tm187791,0
tm113576,0
tm65686,0
ts8570,0
tm191387,14
tm191387,0
tm191387,15
ts27693,0
tm19494,0
tm191772,0
tm12499,0
tm186589,11
tm186589,0
tm186589,8
tm189764,0
tm10739,7
tm10739,0
tm1822,12
tm1822,0
tm55369,0
ts251477,12
tm192431,0
ts22286,12
tm192199,0
ts11397,0
tm56033,16
tm56033,1
tm56033,3
tm56033,8
ts21581,0
tm117488,0
tm190811,0
tm191431,17
tm191431,0
tm10811,0
tm49839,0
ts20918,0
ts21693,0
ts20939,0
ts21684,18
ts22080,8
tm67635,4
tm320211,1
tm7073,0
ts28516,13
tm117873,4
tm55100,4
tm64817,0
ts22039,8
tm188606,3
tm188606,19
tm188606,1
tm188606,0
tm188606,20
tm41525,21
tm189171,22
tm189171,13
tm63514,0
tm21911,0
tm188970,1
tm12876,4
ts224786,23
tm62176,4
tm52871,4
tm8687,0
tm104933,0
tm184326,4
tm62385,4
tm191614,8
tm191614,2
tm110766,24
tm110766,0
tm110766,8
tm110766,3
tm9898,4
tm47530,4
tm57169,1
tm57169,0
tm192301,4
tm58893,4
tm110160,4
tm118438,4
tm424630,0
tm27601,4
tm203186,6
tm128073,1
tm7951,0
tm7135,0
tm52083,8
tm52083,25
tm52083,6
tm52083,26
tm340430,4
tm7032,26
tm7032,8
tm7032,11
tm7032,6
tm256669,4
